timestamp,available_mb,commit_gb,py_count,py_ws_gb,py_priv_gb
21:47:49,118247,25,0,0,0
21:47:54,118323,25.7,1,0.1,0.7
21:47:59,117654,26.5,1,0.7,1.5
21:48:04,117729,26.5,1,0.7,1.5
21:48:09,117730,27.4,5,1.2,2.5
21:48:14,115506,30.7,5,3.8,5.7
21:48:19,115486,30.8,5,3.8,5.7
21:48:24,115417,32,5,4.6,7
21:48:29,113473,32.8,5,5.8,7.8
21:48:34,113304,33.3,5,6.1,8.3
21:48:39,113138,33.4,5,6.3,8.4
21:48:44,113026,33.4,5,6.5,8.4
21:48:49,112890,33.4,5,6.6,8.4
21:48:54,112764,33.4,5,6.8,8.5
21:48:59,112636,33.7,5,7.1,8.7
21:49:04,112325,34.2,5,7.5,9.2
21:49:09,112194,34.2,5,7.7,9.4
21:49:14,112126,34.2,5,7.8,9.4
21:49:19,111998,34.4,5,8.1,9.6
21:49:24,111617,34.8,5,8.5,10.1
21:49:29,111300,35,5,8.7,10.2
21:49:34,111285,34.9,5,8.8,10.2
21:49:39,110929,35.5,5,9.3,10.7
21:49:44,110839,35.5,5,9.3,10.7
21:49:49,110676,35.5,5,9.5,10.7
21:49:54,110595,35.5,5,9.6,10.7
21:49:59,110490,35.5,5,9.7,10.7
21:50:04,110448,35.5,5,9.7,10.8
21:50:09,110573,35.5,5,9.7,10.8
21:50:14,110386,35.6,5,9.8,10.9
21:50:19,110134,35.9,5,10,11.1
21:50:25,110227,35.9,5,10.1,11.1
21:50:30,110088,35.9,5,10.2,11.1
21:50:35,110039,36,5,10.4,11.2
21:50:40,109995,36,5,10.4,11.2
21:50:45,109926,36,5,10.5,11.2
21:50:50,109916,36,5,10.6,11.2
21:50:55,109856,36.1,5,10.7,11.4
21:51:00,109855,36.1,5,10.6,11.3
21:51:05,109825,36.2,5,10.7,11.4
21:51:10,109828,36.2,5,10.7,11.4
21:51:15,109912,36.1,5,10.7,11.3
21:51:20,109802,36.2,5,10.7,11.3
21:51:25,118745,24.9,0,0,0
21:51:30,118745,24.9,0,0,0
